Category,No,FXY1,ElementName1_en,FXY2,ElementName2_en
#高空,,,,
10,803,310068,V470,202131,V470
10,798,310068,V471,4006,V471
10,803,310068,V472,202000,V472
10,803,310068,V473,201000,V473
10,801,310068,V474,5001,V474
10,802,310068,V475,6001,V475
10,803,310068,V476,202126,V476
10,804,310068,V477,7001,V477
10,805,310068,V478,202000,V478
10,810,310068,V479,10007,V479
10,806,310068,V480,7024,V480
10,807,310068,V481,5021,V481
10,808,310068,V482,7025,V482
10,809,310068,V483,5022,V483
10,811,310068,V484,13040,V484
10,811,310068,V485,12101,V485
10,811,310068,V486,201131,V486
10,811,310068,V487,202129,V487
10,811,310068,V488,11011,V488
10,811,310068,V489,202000,V489
10,811,310068,V490,201000,V490
10,811,310068,V491,201130,V491
10,811,310068,V492,202129,V492
10,811,310068,V493,11012,V493
10,811,310068,V494,202000,V494
10,811,310068,V495,201000,V495
10,811,310068,V496,20029,V496
10,812,310068,V497,20010,V497
10,812,310068,V498,20014,V498
10,813,310068,V499,13162,V499
10,814,310068,V500,14050,V500
#FY3-C通道变量序列20170625,,V501,,V501
10,816,310069,V502,5042,V502
10,817,310069,V503,201139,V503
10,817,310069,V504,2155,V504
10,817,310069,V505,201000,V505
10,818,310069,V506,25077,V506
10,819,310069,V507,25078,V507
10,819,310069,V508,33007,V508
10,820,310069,V509,201132,V509
10,821,310069,V510,202129,V510
10,822,310069,V511,12063,V511
10,823,310069,V512,202000,V512
10,824,310069,V513,201000,V513
#FY3-C MWTS,,V514,,V514
10,824,310070,V515,310068,V515
10,824,310070,V516,101013,V516
10,824,310070,V517,310069,V517
#FY3-C MWHS,,V518,,V518
10,824,310071,V519,310068,V519
10,824,310071,V520,101015,V520
10,824,310071,V521,310069,V521
#FY3-C IRAS,,V522,,V522
10,824,310072,V523,310068,V523
10,824,310072,V524,101026,V524
10,824,310072,V525,310069,V525
